kanji,on_readings,kun_readings,meanings,jlpt_level,on_count,kun_count,meaning_count
在,ザイ ア.,,"exist, outskirts, suburbs, located in",N3,2,0,4
件,ケン,くだん,"affair, case, matter, item",N3,1,1,4
側,ソク,かわ がわ そば,"side, lean, oppose, regret",N3,1,3,4
任,ニン マカ.,まか.せる,"responsibility, duty, term, entrust to, appoint",N3,2,1,5
引,イン ヒ.ケ,ひ.く ひ.き ひ.き- -び.き,"pull, tug, jerk, admit, install, quote, refer to",N3,2,4,7
求,キュウ グ,もと.める,"request, want, wish for, require, demand",N3,2,1,5
所,ショ ト,ところ -ところ どころ,place,N3,2,3,1
次,ジ シ ツ,つ.ぐ,"next, order, sequence",N3,3,1,3
昨,サク,,"yesterday, previous",N3,1,0,2
論,ロン,,"argument, discourse",N3,1,0,2
官,カン,,"bureaucrat, the government",N3,1,0,2
増,ゾウ フ.ヤ,ま.す ま.し ふ.える,"increase, add, augment, gain, promote",N3,2,3,5
係,ケイ,かか.る かかり -がかり かか.わる,"person in charge, connection, duty, concern oneself",N3,1,4,4
感,カン,,"emotion, feeling, sensation",N3,1,0,3
情,ジョウ セイ,なさ.け,"feelings, emotion, passion, sympathy, circumstances, facts",N3,2,1,6
投,トウ,な.げる -な.げ,"throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss",N3,1,2,9
示,ジ シ,しめ.す,"show, indicate, point out, express, display",N3,2,1,5
変,ヘン,か.わる か.わり か.える,"unusual, change, strange",N3,1,3,3
打,ダ ダアス ブ.,う.つ う.ち-,"strike, hit, knock, pound, dozen",N3,3,2,5
直,チョク ジキ ジカ ス.,ただ.ちに なお.す -なお.す なお.る なお.き,"straightaway, honesty, frankness, fix, repair",N3,4,5,5
両,リョウ フタ,てる,"both, old Japanese coin, counter for vehicles, two",N3,2,1,4
式,シ,,"style, ceremony, rite, function, method, system, form, expression",N3,1,0,8
確,カク コウ,たし.か たし.かめる,"assurance, firm, tight, hard, solid, confirm, clear, evident",N3,2,2,8
果,カ ハ.,は.たす はた.す -は.たす は.てる -は.てる,"fruit, reward, carry out, achieve, complete, end, finish, succeed",N3,2,5,8
容,ヨウ イ.レ,,"contain, form, looks",N3,2,0,3
必,ヒツ,かなら.ず,"invariably, certain, inevitable",N3,1,1,3
